OID,param,emissions
900,Total,431.978546
901,Total,416.251495
902,Total,492.014526
903,Total,467.978576
904,Total,340.560546
905,Total,264.605651
906,Total,285.640747
907,Total,253.512741
908,Total,293.017944
909,Total,245.601364
910,Total,212.158905
911,Total,202.344512
912,Total,205.809921
913,Total,141.293823
914,Total,216.463348
915,Total,173.279968
916,Total,147.403274
917,Total,94.495376
920,Total,214.715301
921,Total,152.435943
922,Total,310.894165
923,Total,257.244567
924,Total,300.528778
925,Total,104.599227
926,Total,179.547363
927,Total,240.716522
928,Total,165.732482
929,Total,72.193237
930,Total,36.341991
931,Total,66.6194
932,Total,53.474201
933,Total,54.00978
934,Total,33.569343
935,Total,45.053176
936,Total,9.249545
937,Total,20.860631
938,Total,473.800109
939,Total,375.553009
940,Total,422.724609
941,Total,323.181457
942,Total,387.587219
943,Total,417.392608
944,Total,395.108856
945,Total,357.364288
946,Total,405.961151
947,Total,397.782501
948,Total,312.534362
949,Total,180.903839
950,Total,157.07225
951,Total,174.023818
952,Total,225.327957
953,Total,217.606506
954,Total,197.997406
955,Total,406.139709
956,Total,92.34793
957,Total,55.510059
960,Total,38.655315
961,Total,211.440093
962,Total,217.040222
963,Total,355.065643
964,Total,267.264373
965,Total,332.214538
966,Total,301.244659
967,Total,286.538208
968,Total,666.23767
969,Total,384.416381
970,Total,101.939079
971,Total,99.339279
972,Total,58.753593
973,Total,34.525928
974,Total,57.825874
975,Total,23.366792
976,Total,22.763309
977,Total,21.664026
978,Total,1.830534
979,Total,553.155212
980,Total,643.214355
981,Total,419.028564
982,Total,309.02185
983,Total,401.438049
984,Total,396.387512
985,Total,351.74237
986,Total,422.264617
987,Total,511.008148
988,Total,445.945037
989,Total,350.131744
990,Total,265.807678
991,Total,256.369323
992,Total,205.260025
993,Total,281.163604
994,Total,363.634063
995,Total,277.255767
998,Total,215.532455
999,Total,98.869575
1000,Total,181.195175
1001,Total,156.688507
1002,Total,189.736007
1003,Total,75.347747
1004,Total,113.625122
1005,Total,127.345466
1006,Total,262.544464
1007,Total,271.277008
1008,Total,758.514526
1009,Total,772.47174
1010,Total,73.402664
1011,Total,32.311954
1012,Total,10.730793
1013,Total,19.139102
1014,Total,9.134727
1015,Total,11.687266
1016,Total,636.851806
1017,Total,351.770782
1018,Total,298.74475
1019,Total,345.296142
1020,Total,435.282165
1021,Total,445.763824
1022,Total,447.570343
1023,Total,370.601226
1024,Total,378.01538
1025,Total,436.444824
1026,Total,350.011932
1027,Total,316.893554
1028,Total,307.394592
