OID,density
1023,784.135864
1024,755.863647
1025,787.591979
1026,614.911682
1027,736.390869
1028,637.967773
1029,755.276733
1030,780.111206
1031,983.186828
1034,123.706398
1035,108.748016
1036,202.915039
1037,280.347503
1038,195.216339
1039,393.799011
1040,150.70903
1041,213.23561
1042,312.953063
1043,472.698883
1044,400.330566
1045,256.562347
1046,189.776336
1047,61.191535
1048,32.814868
1049,13.535603
1050,10.03071
1051,11.583466
1052,9.921661
1054,1136.413452
1055,1320.998901
1056,1287.622558
1057,1252.747924
1058,1232.659057
1059,910.963623
1060,796.111938
1061,789.484741
1062,764.717895
1063,790.236877
1064,708.048645
1065,730.2229
1066,697.134155
1067,733.029907
1068,772.720397
1069,299.344116
1071,57.268009
1072,197.82164
1073,131.990966
1074,185.242507
1075,243.873657
1076,169.116195
1077,315.414154
1078,229.273483
1079,183.242675
1080,297.710876
1081,412.264251
1082,552.835693
1083,454.89151
1084,365.604644
1085,84.775497
1086,17.370458
1087,10.271701
1088,10.477252
1089,11.58837
1090,5.290506
1092,1481.282104
1093,1142.290893
1094,1274.901611
1095,1344.3031
1096,1142.38916
1097,1013.787597
1098,797.400207
1099,749.924926
1100,680.209777
1101,766.072753
1102,749.701782
1103,805.57489
1104,831.133605
1105,1084.997436
1106,654.212158
1109,318.633056
1110,195.274627
1111,191.062774
1112,264.697387
1113,160.458694
1115,330.604309
1116,487.599548
1117,255.757965
1118,388.098815
1119,456.200988
1120,530.289733
1121,477.77774
1122,256.584899
1123,75.905349
1124,13.038062
1125,5.696889
1126,8.915101
1127,17.106142
1128,7.073148
1129,1293.793579
1130,1395.419555
1131,1578.706542
1132,1319.436401
1133,1266.476562
1134,895.468872
1135,893.925659
1136,854.261535
1137,1004.596923
1138,843.723144
1139,648.282836
1140,435.769073
1141,349.131591
1142,274.02008
1143,351.291931
1144,678.330505
1145,615.891113
1146,491.764617
1147,418.750793
1148,315.475982
1149,167.410888
1151,103.634613
1152,382.651702
1153,677.225097
1154,516.682312
1155,478.831848
1156,404.025573
1157,381.00418
1158,307.15036
1159,180.340896
1160,166.808944
1161,84.867538
1162,15.62582
1163,15.553112
1164,25.850111
1165,7.073148
1166,617.486083
1167,955.2984
1168,1300.961914
1169,1501.743774
1170,1060.824462
1171,1054.170654
1172,732.881469
1173,891.842102
1174,604.691711
1175,362.038116
1176,399.513946
1177,449.453247
1178,691.88507
1179,171.016387
1180,464.171936
1181,536.721496
1182,518.488708
1183,445.34024
1184,341.059906
1185,256.257354
1186,251.816574
1187,103.839187
1188,305.675933
1189,459.889038
1190,578.702697
1191,466.883239
1192,329.388763
1193,276.459838
1194,204.862136
1195,223.364028
1196,126.919685
1197,126.887947
1198,68.650657
1199,955.2984
1200,1300.961914
1201,1501.743774
1202,1060.824462
1203,1054.170654
1204,166.061843
1205,206.521133
1206,537.062194
1207,822.252746
1208,810.718383
1209,646.180358
1210,783.167968
1211,110.72393
1212,599.987854
1213,588.208007
1214,440.163574
1215,418.57904
1216,333.653137
1217,296.744323
1218,235.497009
1219,298.096618
1220,517.647644
1221,378.417877
1222,537.185607
1223,505.55368
1224,528.912414
1225,360.236907
1226,204.862136
